test_id,node,test_category,test_description,test,result,failure_reason
1,DC1-BL1A,NTP,Synchronised with NTP server,NTP,PASS
2,DC1-BL1B,NTP,Synchronised with NTP server,NTP,PASS
3,DC1-L2LEAF1A,NTP,Synchronised with NTP server,NTP,PASS
4,DC1-L2LEAF2A,NTP,Synchronised with NTP server,NTP,PASS
5,DC1-L2LEAF2B,NTP,Synchronised with NTP server,NTP,PASS
6,DC1-LEAF1A,NTP,Synchronised with NTP server,NTP,PASS
7,DC1-LEAF2A,NTP,Synchronised with NTP server,NTP,PASS
8,DC1-LEAF2B,NTP,Synchronised with NTP server,NTP,PASS
9,DC1-SPINE1,NTP,Synchronised with NTP server,NTP,PASS
10,DC1-SPINE2,NTP,Synchronised with NTP server,NTP,PASS
11,DC1-SPINE3,NTP,Synchronised with NTP server,NTP,PASS
12,DC1-SPINE4,NTP,Synchronised with NTP server,NTP,PASS
13,DC1-SVC3A,NTP,Synchronised with NTP server,NTP,PASS
14,DC1-SVC3B,NTP,Synchronised with NTP server,NTP,PASS
15,DC1-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet6,PASS
16,DC1-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet6,PASS
17,DC1-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_DC1-SPINE3_Ethernet6,PASS
18,DC1-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC1-SPINE4_Ethernet6,PASS
19,DC1-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - MLAG_PEER_DC1-BL1B_Ethernet5,PASS
20,DC1-BL1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet6 - MLAG_PEER_DC1-BL1B_Ethernet6,PASS
21,DC1-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet7,PASS
22,DC1-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet7,PASS
23,DC1-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_DC1-SPINE3_Ethernet7,PASS
24,DC1-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC1-SPINE4_Ethernet7,PASS
25,DC1-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - MLAG_PEER_DC1-BL1A_Ethernet5,PASS
26,DC1-BL1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet6 - MLAG_PEER_DC1-BL1A_Ethernet6,PASS
27,DC1-L2LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - DC1-LEAF2A_Ethernet7,PASS
28,DC1-L2LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - DC1-LEAF2B_Ethernet7,PASS
29,DC1-L2LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - DC1-SVC3A_Ethernet7,PASS
30,DC1-L2LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - DC1-SVC3B_Ethernet7,PASS
31,DC1-L2LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC1-L2LEAF2B_Ethernet3,PASS
32,DC1-L2LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - MLAG_PEER_DC1-L2LEAF2B_Ethernet4,PASS
33,DC1-L2LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - DC1-SVC3A_Ethernet8,PASS
34,DC1-L2LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - DC1-SVC3B_Ethernet8,PASS
35,DC1-L2LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC1-L2LEAF2A_Ethernet3,PASS
36,DC1-L2LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - MLAG_PEER_DC1-L2LEAF2A_Ethernet4,PASS
37,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet1,PASS
38,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet1,PASS
39,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_DC1-SPINE3_Ethernet1,PASS
40,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC1-SPINE4_Ethernet1,PASS
41,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - server01_Eth1,PASS
42,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet7 - server01_Eth4,PASS
43,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet8 - server01_Eth5,PASS
44,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet6 - server02_Eth1,PASS
45,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet2,PASS
46,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet2,PASS
47,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_DC1-SPINE3_Ethernet2,PASS
48,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC1-SPINE4_Ethernet2,PASS
49,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - MLAG_PEER_DC1-LEAF2B_Ethernet5,PASS
50,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet6 - MLAG_PEER_DC1-LEAF2B_Ethernet6,PASS
51,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet7 - DC1-L2LEAF1A_Ethernet1,PASS
52,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet10 - server01_Eth2,PASS
53,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet11 - server02_Eth2,PASS
54,DC1-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet3,PASS
55,DC1-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet3,PASS
56,DC1-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_DC1-SPINE3_Ethernet3,PASS
57,DC1-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC1-SPINE4_Ethernet3,PASS
58,DC1-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - MLAG_PEER_DC1-LEAF2A_Ethernet5,PASS
59,DC1-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet6 - MLAG_PEER_DC1-LEAF2A_Ethernet6,PASS
60,DC1-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet7 - DC1-L2LEAF1A_Ethernet2,PASS
